id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
0;year_archives_links;requests;1566414343.0612156;-0.28806400299072266;https://kurser.ku.dk/archive;https://kurser.ku.dk/archive;25197;200;True;
1;year_archives_links;requests;1566414351.0225897;-0.2898905277252197;https://kurser.ku.dk/archive/2017-2018;https://kurser.ku.dk/archive/2017-2018;28983;200;True;
2;year_archives_links;requests;1566414351.873027;-0.22765779495239258;https://kurser.ku.dk/archive/2016-2017;https://kurser.ku.dk/archive/2016-2017;29663;200;True;
3;year_archives_links;requests;1566414352.655949;-0.11186337471008301;https://kurser.ku.dk/archive/2015-2016;https://kurser.ku.dk/archive/2015-2016;29068;200;True;
4;year_archives_links;requests;1566414353.3356586;-0.1059112548828125;https://kurser.ku.dk/archive/2014-2015;https://kurser.ku.dk/archive/2014-2015;29044;200;True;
5;year_archives_links;requests;1566414354.0056763;-0.10798406600952148;https://kurser.ku.dk/archive/2013-2014;https://kurser.ku.dk/archive/2013-2014;28913;200;True;
6;study_board_years_archives_links;requests;1566414372.0475044;-0.10962700843811035;https://kurser.ku.dk/archive/2017-2018/888;https://kurser.ku.dk/archive/2017-2018/888;25395;200;True;
7;study_board_years_archives_links;requests;1566414372.7121956;-0.1752328872680664;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0010;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0010;30288;200;True;
8;study_board_years_archives_links;requests;1566414373.438736;-0.23181986808776855;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0021;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0021;52352;200;True;
9;study_board_years_archives_links;requests;1566414374.2135537;-0.1926872730255127;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0044;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0044;44236;200;True;
10;study_board_years_archives_links;requests;1566414375.0138652;-0.22054219245910645;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0009;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0009;42226;200;True;
11;study_board_years_archives_links;requests;1566414375.8069663;-0.16315960884094238;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_PB_01;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_PB_01;30066;200;True;
12;study_board_years_archives_links;requests;1566414376.525596;-0.11849427223205566;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_SU_0031;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_SU_0031;29446;200;True;
13;study_board_years_archives_links;requests;1566414377.1967459;-0.16368508338928223;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0012;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0012;33315;200;True;
14;study_board_years_archives_links;requests;1566414377.9163127;-0.2096712589263916;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0033;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0033;41070;200;True;
15;study_board_years_archives_links;requests;1566414378.7007287;-0.18469572067260742;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0025;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0025;25487;200;True;
16;study_board_years_archives_links;requests;1566414379.4369855;-0.2337656021118164;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0019;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0019;35104;200;True;
17;study_board_years_archives_links;requests;1566414380.229314;-0.25789523124694824;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD__BI_0031;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD__BI_0031;48713;200;True;
18;study_board_years_archives_links;requests;1566414381.0821285;-0.20711708068847656;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0028;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0028;40959;200;True;
19;study_board_years_archives_links;requests;1566414381.8639166;-0.33411169052124023;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0027;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0027;45825;200;True;
20;study_board_years_archives_links;requests;1566414382.7861173;-0.2564516067504883;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0029;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0029;47637;200;True;
21;study_board_years_archives_links;requests;1566414383.6315377;-0.18393850326538086;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0034;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0034;26273;200;True;
22;study_board_years_archives_links;requests;1566414384.3589613;-0.32699131965637207;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0030;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0030;45952;200;True;
23;study_board_years_archives_links;requests;1566414385.2643607;-0.3751389980316162;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_MI_0031;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_MI_0031;44092;200;True;
24;study_board_years_archives_links;requests;1566414386.212656;-0.35001063346862793;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_PHD_0010;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_PHD_0010;33887;200;True;
25;study_board_years_archives_links;requests;1566414387.124086;-0.1606612205505371;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0020;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0020;28263;200;True;
26;study_board_years_archives_links;requests;1566414387.8367572;-0.1458594799041748;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0054;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0054;28754;200;True;
27;study_board_years_archives_links;requests;1566414388.534375;-0.12664222717285156;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0001;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0001;26895;200;True;
28;study_board_years_archives_links;requests;1566414389.214226;-0.21443629264831543;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0005;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0005;75066;200;True;
29;study_board_years_archives_links;requests;1566414390.0486;-0.15372347831726074;https://kurser.ku.dk/archive/2017-2018/SUND_FG;https://kurser.ku.dk/archive/2017-2018/SUND_FG;34506;200;True;
30;study_board_years_archives_links;requests;1566414390.758277;-0.1320180892944336;https://kurser.ku.dk/archive/2017-2018/STUD_HBI;https://kurser.ku.dk/archive/2017-2018/STUD_HBI;29157;200;True;
31;study_board_years_archives_links;requests;1566414391.443251;-0.13003873825073242;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0032;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0032;31394;200;True;
32;study_board_years_archives_links;requests;1566414392.1325598;-0.19287562370300293;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0006;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0006;53509;200;True;
33;study_board_years_archives_links;requests;1566414392.9058506;-0.17259526252746582;https://kurser.ku.dk/archive/2017-2018/SUND_MAS;https://kurser.ku.dk/archive/2017-2018/SUND_MAS;37693;200;True;
34;study_board_years_archives_links;requests;1566414393.6491525;-0.2053050994873047;https://kurser.ku.dk/archive/2017-2018/SUND_MS;https://kurser.ku.dk/archive/2017-2018/SUND_MS;49451;200;True;
35;study_board_years_archives_links;requests;1566414394.4314213;-0.19026660919189453;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0091;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0091;45784;200;True;
36;study_board_years_archives_links;requests;1566414395.2018392;-0.11329317092895508;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_4861;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_4861;25930;200;True;
37;study_board_years_archives_links;requests;1566414395.8708162;-0.1589674949645996;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0003;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0003;47599;200;True;
38;study_board_years_archives_links;requests;1566414396.6560636;-0.22435665130615234;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0203;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0203;51815;200;True;
39;study_board_years_archives_links;requests;1566414397.4675093;-0.12260699272155762;https://kurser.ku.dk/archive/2017-2018/SUND_SI;https://kurser.ku.dk/archive/2017-2018/SUND_SI;25371;200;True;
40;study_board_years_archives_links;requests;1566414398.1495697;-0.138472318649292;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0014;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0014;34014;200;True;
41;study_board_years_archives_links;requests;1566414398.850025;-0.23579955101013184;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0004;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0004;64013;200;True;
42;study_board_years_archives_links;requests;1566414399.6807733;-0.18696093559265137;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0023;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0023;34201;200;True;
